,tabac,gum,year,num
22365,10.0,10.0,2001,1.0
22434,7.0,5.0,2001,11.0
22542,7.0,1.0,2001,32.0
22544,14.0,20.0,2001,34.0
22545,10.0,10.0,2001,36.0
22568,10.0,40.0,2001,61.0
22572,5.0,3.0,2001,66.0
22594,10.0,5.0,2001,9.0
22597,10.0,5.0,2001,52.0
22601,10.0,1.0,2001,56.0
22612,7.0,10.0,2001,7.0
22631,7.0,2.0,2001,52.0
22683,7.0,4.0,2001,5.0
22727,9.0,6.0,2001,11.0
22739,7.0,3.0,2001,4.0
22746,10.0,18.0,2001,12.0
22756,7.0,2.0,2001,12.0
22757,3.0,10.0,2001,14.0
22761,7.0,20.0,2001,2.0
22831,5.0,1.0,2001,1.0
22837,7.0,14.0,2001,51.0
22838,5.0,1.0,2001,5.0
22839,4.0,1.0,2001,7.0
22842,4.0,8.0,2001,11.0
22897,14.0,9.0,2001,12.0
22907,10.0,5.0,2001,51.0
22917,7.0,5.0,2001,11.0
22923,7.0,4.0,2001,5.0
22932,15.0,10.0,2001,51.0
22937,7.0,7.0,2001,6.0
22944,3.0,24.0,2001,54.0
22945,10.0,10.0,2001,55.0
22947,7.0,1.0,2001,4.0
22962,7.0,1.0,2001,10.0
22963,5.0,5.0,2001,11.0
22985,4.0,2.0,2001,7.0
22991,20.0,4.0,2001,4.0
23000,4.0,3.0,2001,12.0
23004,1.0,1.0,2001,9.0
23013,10.0,2.0,2001,51.0
23019,7.0,5.0,2001,7.0
23031,2.0,10.0,2001,6.0
23034,10.0,2.0,2001,14.0
23038,5.0,1.0,2001,10.0
23092,14.0,4.0,2001,7.0
23098,10.0,10.0,2001,6.0
23101,21.0,14.0,2001,1.0
23104,10.0,5.0,2001,14.0
23122,11.0,10.0,2001,12.0
23124,1.0,84.0,2001,7.0
23137,20.0,10.0,2001,10.0
23153,1.0,1.0,2001,19.0
23154,14.0,2.0,2001,20.0
23156,3.0,4.0,2001,22.0
23162,7.0,4.0,2001,2.0
23169,10.0,20.0,2001,9.0
23205,4.0,1.0,2001,13.0
23244,2.0,2.0,2001,4.0
23245,7.0,4.0,2001,5.0
23254,4.0,7.0,2001,15.0
23267,40.0,1.0,2001,4.0
23299,3.0,4.0,2001,1.0
23317,10.0,10.0,2001,8.0
23355,1.0,1.0,2001,2.0
23357,5.0,2.0,2001,4.0
23369,5.0,1.0,2001,52.0
23405,10.0,2.0,2001,12.0
23414,7.0,2.0,2001,55.0
23437,10.0,10.0,2001,4.0
23442,7.0,15.0,2001,25.0
23453,10.0,4.0,2001,34.0
23454,15.0,4.0,2001,39.0
23468,10.0,1.0,2001,38.0
23477,2.0,2.0,2001,66.0
23497,7.0,7.0,2001,31.0
23505,7.0,2.0,2001,3.0
23519,7.0,1.0,2001,11.0
23530,20.0,2.0,2001,19.0
23547,7.0,3.0,2001,47.0
23567,5.0,2.0,2001,11.0
23600,3.0,20.0,2001,27.0
23633,7.0,7.0,2001,20.0
23636,28.0,24.0,2001,27.0
23650,3.0,1.0,2001,2.0
23670,6.0,20.0,2001,1.0
23671,10.0,10.0,2001,3.0
23674,7.0,20.0,2001,14.0
23677,40.0,30.0,2001,17.0
23680,10.0,20.0,2001,28.0
23682,5.0,1.0,2001,30.0
23693,2.0,1.0,2001,12.0
23707,4.0,12.0,2001,17.0
23718,3.0,1.0,2001,16.0
23739,6.0,12.0,2001,25.0
23740,5.0,25.0,2001,29.0
23747,20.0,3.0,2001,4.0
23757,6.0,1.0,2001,3.0
23764,30.0,1.0,2001,32.0
23772,7.0,1.0,2001,25.0
23775,7.0,3.0,2001,33.0
23777,5.0,1.0,2001,41.0
23784,10.0,1.0,2001,23.0
23798,4.0,4.0,2001,3.0
23800,28.0,1.0,2001,11.0
23802,4.0,2.0,2001,15.0
23803,8.0,1.0,2001,16.0
23805,10.0,5.0,2001,19.0
23816,1.0,1.0,2001,10.0
23824,7.0,2.0,2001,7.0
23838,3.0,3.0,2001,16.0
23840,5.0,1.0,2001,24.0
23850,7.0,2.0,2001,34.0
